Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Geospatial Data Scientist,Employer Provided Salary:$50 - $100 Per Hour,"HySpecIQ puts hyperspectral data into the hands of commercial and government decision-makers and translates it into meaningful insights to help them take more informed action. HyspecIQ’s satellites will provide imagery that is an order of magnitude better than that from comparative commercially available LEO satellites and its analytics team is leading the development of models derived from space generated Hyperspectral imagery with the potential to enhance our national security, transform the insurance and agriculture industries and drive responses to climate change.
The Geospatial Data Scientist will join our product development team as an individual contributor. As a member of this team, you will be responsible for developing and implementing techniques for geospatial data processing, with the intent of creating new products and solutions for our various market verticals. We are looking for an eager candidate who enjoys being part of a dynamic team environment and is up to the challenge of developing hyperspectral-based products.",-1,HySpecIQ,Remote,-1,-1,-1,-1,-1,-1
Junior Data Scientist,Employer Provided Salary:$50K - $85K,"SiteZeus is hiring a Data Scientist to join our growing product team! Our ideal candidate has a strong background in Data Science and Statistics.
SiteZeus is a location intelligence SaaS platform based out of Tampa, FL and founded in 2013. We are a remote organization focused on company culture, industry changing technology, and employee value. Our customers use SiteZeus to make better decisions about where to build their next physical locations, and how to optimize their investment in existing locations. We empower brands to pick the very best locations by employing the very best people and giving them the tools to succeed.
Expected Salary Range - $50,000 - $85,000
SiteZeus may consider candidates it deems as overqualified or underqualified. Such candidates may be considered at salary numbers higher or lower than the listed range.",4.7,"SiteZeus
4.7",Remote,1 to 50 Employees,2014,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD)
Data Scientist,$72K - $145K (Glassdoor est.),"At Noom, we use scientifically proven methods to help our users create healthier lifestyles, and manage important conditions like Type-II Diabetes, Obesity, and Hypertension. Our Engineering team is at the forefront of this challenge, solving complex technical and UX problems on our mobile apps that center around habits, behavior, and lifestyle.
We are looking for a Data Scientist to join our Data team and help us ensure that we apply the best approaches to data analysis and research, artificial intelligence, and machine learning.
What You'll Like About Us:
We work on problems that affect the lives of real people. Our users depend on us to make positive changes to their health and their lives.
We base our work on scientifically-proven, peer-reviewed methodologies that are designed by medical professionals.",4.1,"Noom US
4.1","New York, NY",1001 to 5000 Employees,2008,Company - Private,"Health, Beauty, & Fitness",Consumer Services,Unknown / Non-Applicable
Data Scientist,-1,"Data Scientist
PhysIQ is a transformational leader in applying highly sophisticated technology to solve some of the most pressing problems in healthcare. More specifically, we are forging the frontier of healthcare delivery at the intersection of mobile technology and artificial intelligence. Our team is comprised of veteran technologists and world-class data scientists and our solutions set the market standard for scalability and sophistication. Furthermore, we are implementers with a proven track record of transforming an audacious technological vision into mission-critical solutions for our customers.
Our core values are simple and are defined by integrity, passion and relentless drive toward solving the impossible.
We are a team in its purest definition. We all pull on the rope together, in the same direction, with the same intensity.",5.0,"PhysIQ, Inc.
5.0",Remote,1 to 50 Employees,Company - Private,Unknown / Non-Applicable,-1,-1,-1
Data Scientist - Entry Level,-1,"As a Data Scientist you will be working on consulting side of our business. You will be responsible for analyzing large, complex datasets and identify meaningful patterns that lead to actionable recommendations. You will be performing thorough testing and validation of models, and support various aspects of the business with data analytics.
Ability to do statistical modeling, build predictive models and leverage machine learning algorithms.
This position will combine the typical Data Scientist math and analytical skills, with research, advanced business, communication, and presentation skills.

Qualifications",-1,Numerdox,"Sacramento, CA",-1,-1,-1,-1,-1,-1
Entry Level Data Scientist: 2022,$66K - $147K (Glassdoor est.),"Introduction
As a Data Scientist at IBM, you will help transform our clients’ data into tangible business value by analyzing information, communicating outcomes and collaborating on product development. Work with Best in Class open source and visual tools, along with the most flexible and scalable deployment options. Whether it’s investigating patient trends or weather patterns, you will work to solve real world problems for the industries transforming how we live.

Your Role and Responsibilities
Start dates for this role are January 2022 and later
Data scientists are in demand across IBM’s growth areas. If hired, you will be matched to a team based on business demand, location and fit. Join the forward-thinking teams at IBM solving some of the world’s most complex problems – there is no better place to start your career!

What you’ll do as an Entry Level Data Scientist:
Who You Are:
For more information on our other Entry Level opportunities, please visit here.

These are office based positions in IBM locations including the following. Opportunities in these locations will vary based on demand & will be deleted as filled:

CA - San Francisco, San Jose
CT - Southbury
GA - Brookhaven, Sandy Springs
MA – Andover, Cambridge, Lowell
NY - Armonk, NYC
NC - Research Triangle Park
TX - Austin, Dallas

Required Technical and Professional Expertise

Preferred Technical and Professional Expertise

About Business UnitNo matter where you work in IBM, you are making an impact. As an Early Professional with IBM, you will be taking on a key role with one of our industry-leading business units to work on the technology that is solving our most challenging problems and changing the way the world thinks.

Your Life @ IBMWhat matters to you when you’re looking for your next career challenge?

Maybe you want to get involved in work that really changes the world? What about somewhere with incredible and diverse career and development opportunities – where you can truly discover your passion? Are you looking for a culture of openness, collaboration and trust – where everyone has a voice? What about all of these? If so, then IBM could be your next career challenge. Join us, not to do something better, but to attempt things you never thought possible.

Impact. Inclusion. Infinite Experiences. Do your best work ever.

About IBMIBM’s greatest invention is the IBMer. We believe that through the application of intelligence, reason and science, we can improve business, society and the human condition, bringing the power of an open hybrid cloud and AI strategy to life for our clients and partners around the world.Restlessly reinventing since 1911, we are not only one of the largest corporate organizations in the world, we’re also one of the biggest technology and consulting employers, with many of the Fortune 50 companies relying on the IBM Cloud to run their business. At IBM, we pride ourselves on being an early adopter of artificial intelligence, quantum computing and blockchain. Now it’s time for you to join us on our journey to being a responsible technology innovator and a force for good in the world.

Location StatementIBM offers a wide range of resources for eligible IBMers to thrive both inside and outside of work. In addition to a competitive benefits program consisting of medical and life insurance, retirement plans, and time off, eligible employees may also have access to:


We consider qualified applicants with criminal histories, consistent with applicable law.

IBM will not be providing visa sponsorship for this position now or in the future. Therefore, in order to be considered for this position, you must have the ability to work without a need for current or future visa sponsorship.

Being You @ IBMIBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, pregnancy, disability, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.",3.9,"IBM
3.9","Research Triangle Park, NC",10000+ Employees,1911,Company - Public,IT Services,Information Technology,$10+ billion (USD)
"Data Scientist, Fraud, Creation Platform",$79K - $162K (Glassdoor est.),"Data, Research & Insights
Data Science
About Creation Platform
Location
New York or Remote Americas
Job type
Permanent
Spotify is a global community of over 250 million music fans, artists, and now podcasters. It's always been our mission to make audio more accessible for everyone, and create innovative ways for creators and fans to connect with each other.

Creation Platform is the team within Spotify responsible for building the best tools for audio creators. We have three platforms that help us deliver a great creator experience: Anchor (the platform that allows you to create, distribute, monetize, and grow a podcast, all for free), Spotify for Podcasters (the platform that makes it easy to understand and engage with your listeners on Spotify, and Greenroom (the platform that allows anyone to stream or listen to live audio).",4.1,"Spotify
4.1","New York, NY",5001 to 10000 Employees,2006,Company - Public,Internet,Information Technology,Unknown / Non-Applicable
Data Collection Analyst,-1,"Data Collection Analyst(Job Number: US 0154)
Description

Advanced Analytics and Data Collection, College and Pro Football
We are looking for experts of the ins and outs of the game of football to assist in our data collection department.

What You’ll Do:

Review football film and chart plays, with data including formations, defensive targets, coverages, etc.
Communicate with a team of football analysts to ensure data collection is as uniform and consistent as possible from game to game.

What You’ll Need:",3.0,"Stats Perform
3.0",Remote,1001 to 5000 Employees,2019,Company - Private,TV Broadcast & Cable Networks,Media,Unknown / Non-Applicable
Data Scientist,Employer Provided Salary:$74K - $185K,"Cambridge Technology is seeking a hands-on Data Scientist with the skills to discover the actionable and valuable insights in vast amounts of data. Our customers are diverse and we seek Data Scientists who understand that the real challenge is to find the intersection between actual business problems and ML algorithms. Your primary focus will be on helping to identify business problems of high value that can be solved with data science. Your daily work will be applying ML techniques, performing statistical analysis, and building high-quality prediction systems in production environments.
You must be able to apply analytical, statistical, and programming skills to collect, analyze, and interpret large data sets and present the outcomes using various data visualization techniques apt for different kinds of stakeholders.
We have a preference for the Python Data Science stack, and experience and familiarity with one or more of the major cloud infrastructure providers.",3.7,"Cambridge Technology Inc.
3.7","Atlanta, GA",201 to 500 Employees,1999,Company - Public,IT Services,Information Technology,Unknown / Non-Applicable
Entry Level Data Scientist,$67K - $135K (Glassdoor est.),"Toyota Connected's Mobility team is responsible for building and managing our connected vehicle platforms, supporting product research using vehicle sensor data and creating new and exciting data services for Toyota customers that makes driving safer, more convenient, and fun. We're looking for an Entry Level Data Scientist interested in using data science and statistical techniques to create state-of-the-art solutions for non-trivial, and arguably, unsolved problems. If you are results driven, interested in how to apply advanced Data Science techniques, would love to work with vehicle telemetry data and video, are highly innovative and long for the opportunity to build solutions for challenging problems that directly impact the company's bottom-line, we want to talk to you.
What will you be doing?
You will have the opportunity to work in a fast-paced Agile Scrum environment to assist in prototyping, designing, and implementing predictive models and algorithms to create real world solutions",-1,Toyota Connected North America,"Plano, TX",51 to 200 Employees,2016,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
