Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,hourly,employer_provided,min_salary,max_salary,min_slalry,avg_salary,company_txt,job_state,remote,age,job_simp,seniority,desc_len,python_yn,R_yn,spark,aws,excel
"Data Scientist, Operations",$95K - $180K (Glassdoor est.),"Do you want to help connect people all over the world, and work on a team building the next generation of planet-scale AR games? We're looking for hardworking people to help our company become more data-focused - folks with the ability to be dedicated, thorough, and independent while working in a dynamic, fast-paced environment.
Responsibilities
You will work with a team of hard-working analytics and data science professionals and directly with cross-functional teams to identify business opportunities, optimize product performance, and/or develop operational strategy.
You will analyze large-scale structured and unstructured data and develop deep-dive analyses and models that drive value for our players and our games.
Have a ""product first"" mentality that aligns with our mission, values and strategy.
Translate quantitative findings in concise and clear messages to leadership and external partners.
Drive consensus; independently deliver data insights that drive cross-functional decisions across multiple teams.
Be a hands-on self-starter and stay on top of data science methodologies.
Qualifications
1+ years work experience in data science or relevant role.
BA/BS in statistics, applied mathematics, computer science, machine learning, economics or a related field.
Hands-on experience building end-to-end data pipelines, ETL processes, and/or production models.
Extensive SQL experience; deep knowledge using Python or R.
Deep understanding of statistics, live product analytics, and modeling techniques.
Experience with A/B testing, randomized control trials, and experimental design.
Plus If...
Graduate degree in one of the above listed fields.
Proven experience with natural language processing techniques; familiarity with information extraction, sentiment analysis, topic modeling, etc.
Excellent communications skills; ability to synthesize, simplify, and explain problems and methodologies to different audiences including executives.
Join the Niantic team!
Niantic is the world's leading AR technology company, sparking creative and engaging journeys in the real world. Our products inspire outdoor exploration, exercise, and meaningful social interaction.
Originally formed at Google in 2011, we became an independent company in 2015 with a strong group of investors including Nintendo, The Pokémon Company, and Alsop Louie Partners. Our current titles include pioneering global-control game Ingress, record-breaking AR game Pokémon GO, and recently released third title, Harry Potter: Wizards Unite.
Niantic is an Equal Opportunity employer. We believe that cultivating a workplace where our people are supported and included is essential to creating great products our community will love. Our mission emphasizes seeking and hiring diverse voices, including those who are traditionally underrepresented in the technology industry, and we consider this to be one of the most important values we hold close.
We're a hard-working, fun, and exciting group who value intellectual curiosity and a passion for problem-solving! We have growing offices located in San Francisco, Sunnyvale, Bellevue, Los Angeles, London, Tokyo, Hamburg, and Zurich.",3.6,"Niantic
3.6","Sunnyvale, CA",501 to 1000 Employees,2011,Company - Private,Video Games,Media,Unknown / Non-Applicable,0,0,95,180,95,137.5,Niantic, CA,0,10,data scientist,na,3166,1,0,1,0,1
"Data Scientist, Player Insights",$68K - $144K (Glassdoor est.),"Do you want to help connect people all over the world, and work on a team building the next generation of planet scale AR games? We're looking for hardworking people to help our company become more data focused; folks with the ability to be dedicated, thorough, and independent while working in a dynamic, fast-paced environment.
Responsibilities
Translate quantitative findings in concise and clear messages to leadership and external partners.
Embedded within a product - you are the data guru responsible for setting and monitoring targets, diagnosing problems, quantifying impact, and coming up with solutions.
Have a ""product first"" mindset that aligns with our mission, values and strategy.
Drive consensus; independently deliver data insights that drive cross-functional decisions across multiple teams.
Be a hands-on self-starter and stay on top of data science methodologies.
Qualifications
Extensive experience with SQL; deep knowledge using Python or R.
Deep understanding of statistics, live product analytics, and modeling techniques.
Knowledge and experience with A/B testing or randomized control trials.
BA/BS in statistics, applied mathematics, computer science, machine learning, economics or a related field.
Graduate degree in relevant fields preferred but not required.
1+ years work experience in data science or analytics role (experience working on gaming is a bonus).
Join the Niantic team!
Niantic is the world's leading AR technology company, sparking creative and engaging journeys in the real world. Our products inspire outdoor exploration, exercise, and meaningful social interaction.
Originally formed at Google in 2011, we became an independent company in 2015 with a strong group of investors including Nintendo, The Pokémon Company, and Alsop Louie Partners. Our current titles include pioneering global-control game Ingress, record-breaking AR game Pokémon GO, and recently released third title, Harry Potter: Wizards Unite.
Niantic is an Equal Opportunity employer. We believe that cultivating a workplace where our people are supported and included is essential to creating great products our community will love. Our mission emphasizes seeking and hiring diverse voices, including those who are traditionally underrepresented in the technology industry, and we consider this to be one of the most important values we hold close.
We're a hard-working, fun, and exciting group who value intellectual curiosity and a passion for problem-solving! We have growing offices located in San Francisco, Sunnyvale, Bellevue, Los Angeles, Tokyo, Hamburg, and Zurich.",3.6,"Niantic
3.6","Culver City, CA",501 to 1000 Employees,2011,Company - Private,Video Games,Media,Unknown / Non-Applicable,0,0,68,144,68,106.0,Niantic, CA,0,10,data scientist,na,2593,1,0,1,0,0
Data Scientist,$86K - $178K (Glassdoor est.),"Cloud Computing is the one of the most important initiatives for Microsoft. It is a highly competitive & rapidly growing market and we aim to win it.
The Azure Compute Analytics and Insights team is a growing Agile team tasked with turning our incredibly rich and Big data into strategic and sustainable assets that will drive business and engineering goals and efforts of Azure. Speficaly, we build intelligent models and solutions with eventual integration into our platform or DevOps process with a focus on Azure cloud availability, performance, and customer experience improvement.
We are looking for passionate candidates who have both data science and development skills, and have a keen interest in building, deploying & supporting our intelligent models and solutions. If you dream of being able to use data science/applied statistical techniques like: anomaly detection, machine learning, expert systems and/or experimentation, then you should talk to us. If you have the drive to help to implement it and see it productized, then you really should talk to us. We are not one of those teams that just build reports with brilliant insights that no one uses. We are here to make it happen.
Responsibilities
Design new tools and processes to enable better data modeling, analysis, and experimentation
Employ machine learning for detection, prediction, diagnosis, and optimization/recommendation.
Build models, simulation, scalable and automated analytical systems
Drive improvements to the product design and architecture, leading to increased customer satisfaction
Lead and collaborate with experts from across the company to advance data science best practices
Educate and train others on modern applications of data science techniques
Learn how to build and sustain engagement from all levels of an organization
Qualifications
Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.

Ability to meet Microsoft, customer and/or government security screening requirements are required for this role. These requirements include, but are not limited to the following specialized security screenings: Microsoft Cloud Background Check: This position will be required to pass the Microsoft Cloud Background Check upon hire/transfer and every two years thereafter.

Design new tools and processes to enable better data modeling, analysis, and experimentation
Employ machine learning for detection, prediction, diagnosis, and optimization/recommendation.
Build models, simulation, scalable and automated analytical systems
Drive improvements to the product design and architecture, leading to increased customer satisfaction
Lead and collaborate with experts from across the company to advance data science best practices
Educate and train others on modern applications of data science techniques
Learn how to build and sustain engagement from all levels of an organization

Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work.",4.4,"Microsoft
4.4","Atlanta, GA",10000+ Employees,1975,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),0,0,86,178,86,132.0,Microsoft, GA,0,46,data scientist,na,3753,0,0,0,1,0
Data Scientist,$102K - $174K (Glassdoor est.),"Company Description

As the world's leader in digital payments technology, Visa's mission is to connect the world through the most creative, reliable and secure payment network - enabling individuals, businesses, and economies to thrive. Our advanced global processing network, VisaNet, provides secure and reliable payments around the world, and is capable of handling more than 65,000 transaction messages a second. The company's dedication to innovation drives the rapid growth of connected commerce on any device, and fuels the dream of a cashless future for everyone, everywhere. As the world moves from analog to digital, Visa is applying our brand, products, people, network and scale to reshape the future of commerce.
At Visa, your individuality fits right in. Working here gives you an opportunity to impact the world, invest in your career growth, and be part of an inclusive and diverse workplace. We are a global team of disruptors, trailblazers, innovators and risk-takers who are helping drive economic growth in even the most remote parts of the world, creatively moving the industry forward, and doing meaningful work that brings financial literacy and digital commerce to millions of unbanked and underserved consumers.
You're an Individual. We're the team for you. Together, let's transform the way the world pays.

Job Description

To ensure that Visa’s payment technology is truly available to everyone, everywhere requires the success of our key bank or merchant partners and internal business units. The Global Data Science group supports these partners by using our outstandingly rich data set that spans more than 3 billion cards globally and collects more than 100 billion transactions in a single year. Our focus lies on building creative solutions that have an immediate impact on the business of our highly analytical partners. We work in complementary teams comprising members from Data Science and various groups at Visa. To support our rapidly growing group we are looking for Data Scientists who are equally passionate about the opportunity to use Visa’s rich data to seek significant business problems. You will join one of the Data Science focus areas (e.g., banks, merchants & retailers, digital products, marketing) with an opportunity for rotation within Data Science to gain broad exposure to Visa’s business.
The role can be based in Foster City, CA, Arlington, VA, Atlanta, GA, or Highlands Ranch, CO.
Essential Functions
Be an out-of-the-box problem solver who is passionate about brainstorming innovative ways to use our outstanding data to answer business problems
Connect with clients to understand the challenges they face and convince them with data
Extract and understand data to form an opinion on how to best help our clients and derive relevant insights
Develop visualizations to make your sophisticated analyses accessible to a broad audience
Find opportunities to craft products out of analyses that are suitable for multiple clients
Work with partners throughout the organization to find opportunities for using Visa data to drive business solutions.
Mine and analyze data from company databases to drive optimization and improvement of product, marketing techniques and business strategies for Visa and its clients
Assess the efficiency and accuracy of new data sources and data gathering techniques.
Develop custom data models and algorithms to apply to data sets.
Use predictive modeling to increase and optimize customer experiences, revenue generation, data insights, advertising targeting and other business outcomes.
Develop processes and tools to monitor and analyze model performance and data accuracy.

Qualifications

Basic Qualifications
2 years of work experience with a Bachelor’s Degree or an Advanced Degree (e.g. Masters, MBA, JD, MD, or PhD)
Preferred Qualifications
2+ years’ experience in data-based decision-making or quantitative analysis
Bachelor’s degree in an analytical field such as statistics, operations research, economics, computer science or many others (graduate degree is a plus)
Experience with extracting and aggregating data from large data sets using SQL or other tools
Competence in Excel, PowerPoint and Tableau
Experience in understanding and analyzing data using statistical software (e.g., Python, SAS, R, Stata or others)
Previous exposure to financial services, credit cards or merchant analytics is a plus, but not required


Additional Information

Visa has adopted a COVID-19 vaccination policy to safeguard the health and well-being of our employees and visitors. As a condition of employment, all employees based in the U.S. are required to be fully vaccinated for COVID-19, unless a reasonable accommodation is approved or as otherwise required by law.
Work Hours: Varies upon the needs of the department
Travel Requirements: This position requires travel 5-10% of the time.
Mental/Physical Requirements: This position will be performed in an office setting. The position will require the incumbent to sit and stand at a desk, communicate in person and by telephone, frequently operate standard office equipment, such as telephones and computers.
Visa is an EEO Employer. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability or protected veteran status. Visa will also consider for employment qualified applicants with criminal histories in a manner consistent with EEOC guidelines and applicable local law.
Visa will consider for employment qualified applicants with criminal histories in a manner consistent with applicable local law, including the requirements of Article 49 of the San Francisco Police Code.",4.0,"Visa
4.0","Foster City, CA",10000+ Employees,1958,Company - Public,IT Services,Information Technology,$10+ billion (USD),0,0,102,174,102,138.0,Visa, CA,0,63,data scientist,na,5737,1,0,0,0,1
Data Scientist (Remote),$61K - $153K (Glassdoor est.),"What you will do
Data science consulting is an integral and rapidly growing part of our firm's offerings; we are seeking a talented, self-starting data scientist to help our efforts in both business-facing data science and machine learning engineering. At Aimpoint Digital, you will augment talented data science teams, build cutting-edge models, and make impactful recommendations in a fast and dynamically changing environment.
Who we are looking for
We are looking for data scientists who want to make an impact on businesses by building deployable models to generate valuable insights.
Self-starter with excellent communication skills, able to work independently with little direction
MSc/PhD in a STEM related field
Experience with classification and regression techniques are required
Experience with time series analysis and optimization are preferred
Advanced experience in Python, R, MATLAB, Spark/PySpark, SQL, and/or other related programming languages
Comfort using tensorflow/pytorch and learning networks in general
Automation experience preferred (Sagemaker/AWS as examples)
Docker experience is nice to have
Willingness to be a part of a fast-growing team and a desire to learn
We are actively considering applicants that are fully remote within the US.
Job Type: Full-time
Work Location: Multiple Locations",5.0,"Aimpoint Digital
5.0","Atlanta, GA",1 to 50 Employees,Company - Private,Unknown / Non-Applicable,-1,-1,-1,0,0,61,153,61,107.0,Aimpoint Digital, GA,0,-1,data scientist,na,1323,1,0,1,1,1
Data Scientist,Employer Provided Salary:$71K - $165K,"You will:
Identify new approaches and lead the POC to prove the effectiveness of the approach.
Work with large volumes of data and deploy Data Science solutions as well as develop new algorithms and models while working on cutting edge systems.
Deploy models to production in conjunction with different engineering teams, ensuring the models stay relevant over time.
Perform analyses of structured and unstructured data to solve multiple and complex business problems utilizing advanced statistical techniques and mathematical analyses.
Utilize methods such as Natural language processing, clustering, and dashboarding (among others) to create solutions.
Provide mentorship and guidance to other Data Scientists/Analysts.
About you:
Master’s Degree in Math, Statistics, Physics, Computer Science or a related field with relevant work experience.
5+ years of professional experience in a business environment as a Data Scientist, Machine Learning Engineer or comparable analytical position.
3+ years experience designing algorithms that can be deployed at scale in production.
Experience implementing algorithms at scale.
Strong grasp of statistics and modeling techniques.
Strong knowledge of data management and visualization techniques.
Solid experience with Python, SQL, R, or other statistical tool sets.
Strong technical communication, both written and verbal.
Must be a bright self-starter who’s passionate about solving real world data problems, both Big Data and small, using whatever approaches drive results.
Bonus Points:
Experience with cloud environments (GCP, AWS).
Knowledge of the adTech space and particularly the identifiers used in the field.
Experience with Agile/Scrum.
PhD Degree in relevant field
Benefits:
People: Work with talented, collaborative, and friendly people who love what they do.
Fun: We host in-person and virtual events such as game nights, happy hours, camping trips, and sports leagues.
Work/Life Harmony: Flexible paid time off, options for working from home, and paid parental leave.
Whole Health Package: Medical, dental, vision, and disability insurance. Plus mental health support (via Talkspace) and a fitness reimbursement up to $100 per month.
Savings: Our 401K matching plan—1:1 match up to 6% of salary—helps you plan ahead
RampRemote: A comprehensive office equipment and ergonomics program—we help you set up your home office
Location: work in the heart of Little Rock.
Job Type: Full-time
Pay: $70,527.00 - $164,574.00 per year
Benefits:
401(k)
Dental insurance
Health insurance
Paid time off
Vision insurance
Schedule:
Monday to Friday
Education:
Bachelor's (Preferred)
Work Location: One location",5.0,"HiredVirtual
5.0","Tucson, AZ",1 to 50 Employees,Company - Private,Unknown / Non-Applicable,-1,-1,-1,0,1,71,165,71,118.0,HiredVirtual, AZ,0,-1,data scientist,na,2651,1,0,0,1,0
Data Scientist,Employer Provided Salary:$75 - $85 Per Hour,"Location: Remote
Start Date: ASAP
Duration: 6 months
Additional Details:
40 hours of work per week
Remote or on site in Malvern (PA), Charlotte (NC), or Dallas (TX) [whatever candidate is
comfortable with]
6 months to start with possible extensions
Senior AWS Data Scientist Consultant x4
Background: Client is an American registered investment advisor with about $7 trillion in global assets
under management. Client is the largest provider of mutual funds and the second-largest provider of
exchange-traded funds (ETFs) in the world. Client also offers brokerage services, variable and fixed
annuities, educational account services, financial planning, asset management, and trust services. Client
has over 17,000 clients spread out globally.
Project: Client is looking for a consultant that is proficient in AWS and data science. The client is looking
for people to help on their data science team. This team is responsible for creating prediction models
used by financial advisors involving taxes, retirement plans, and spending. Experience with Classification
models, Time Series models, Reinforcement Learning, Regression, Amazon SageMaker, Data Modeling,
Data Mining, Wrangling, and Visualization.
Required: Client requests experience with AWS, Classification models, Time Series models,
Reinforcement learning, Regression, and Amazon SageMaker.
Topics discussed in interview:
- Reinforcement Learning -- how did you design the reward function?
- Have you worked with Impala? PPO (?) algorithms?
- Optimization techniques you've used before -- any ""priors""?
- Time Series Modeling
- RNN's (?)
- GRE vs. LSTM
- Auto end coders
- How to handle imbalance data sets
- De-noising experience -- over/under sampling
- How do you know if you have sufficient data for ML?
- Any interesting ML papers you've read recently?
- Other feature selections
- How do you handle highly correlated features?
Job Types: Full-time, Contract
Pay: $75.00 - $85.00 per hour
Schedule:
8 hour shift
Monday to Friday
Education:
Bachelor's (Preferred)
Experience:
Software development: 1 year (Preferred)
Salesforce: 1 year (Preferred)
Work Location:
Fully Remote
Work Remotely:
Yes
Work Location: Remote",-1.0,PSY LLC,Remote,-1,-1,-1,-1,-1,-1,1,1,75,170,150,122.5,PSY LLC,Remote,1,-1,data scientist,na,2182,0,0,0,1,0
Jr. Data Scientist,$66K - $133K (Glassdoor est.),"Overview:
Reaching more than 100MM+ US consumers, Data, Analytics, and Measurement play a strategic role at Audacy and our Data & Analytics team is right at the center of it. We are an enthusiastic group focusing on guiding business decisions through accurate, relevant, and timely data, analytics and insights. The team governs as well as leads data management and provides business intelligence for both internal and external stakeholders.
This opportunity is available remote, however, the majority of the team sits in Philadelphia and Denver.
Entry level data science position. Recent graduate welcome.
Responsibilities:
What You'll Do:

Build, validate, and troubleshoot data science models using internal tools and metrics
Perform stringent data checks to identify and address inconsistent data issues
Contribute creative feature engineering solutions for use in data models
Analyze output from automated tests to identify significant changes or issues in new customer data
Communicate data science results and insights to other team members
Research data science modeling solutions for new domains using independent judgment
Collaborate in designing and improving the functionalities of internal tools
Automate or help automate as many manual data science activities as possible
Qualifications:

More About You:

Required & Preferred:

Must have strong coding skills with python and SQL.
Understanding of data cleaning and modeling.
Data analysis.
Ability to perform ad-hoc analysis and provide actionable insights.
Strong organizational, communication, and writing skills.
Strong critical thinking skills.
Familiar with data science related libraries such as pandas, numpy, scikit-learn etc.
Familiar with data mining, statistics, and machine learning algorithms.
Strong data visualization skills (eg. matplotlib, plotly).

To help promote and ensure the safety of all of our employees and the communities we serve, we require all incoming employees to be fully vaccinated against the coronavirus. If hired, you will be required to provide proof of vaccination, which will be kept confidential. If you are not vaccinated, or partially vaccinated currently, but willing to become fully vaccinated, we invite you to still apply.
Audacy is committed to providing a safe and inclusive work environment for all and we recognize that some individuals may have a sincerely held religious belief as it pertains to the practice of immunization or a medical disability which may prevent them from becoming vaccinated. Individuals who cannot be fully vaccinated due to a sincere religious belief or medical disability may request an accommodation. We request that you refrain from discussing religious beliefs or medical conditions during the interview process. If you believe you need an accommodation, you will have an opportunity to submit your request during the interview process. All requests for accommodation will remain confidential and reviewed by selected individuals within the HR department. We cannot guarantee that all requests for accommodation will be granted. Please refer to our EEO policy and statement below.
About Us:
Audacy, Inc. (NYSE: AUD) is a scaled, multi-platform audio content and entertainment company with the country’s best radio broadcasting group, a leader in virtually every segment of audio, and America’s #1 creator of original, premium audio. Audacy engages over 170 million consumers each month, bringing people together around the news, sports, podcasts and music that matter to them. Learn more at www.audacyinc.com, Facebook (Audacy Corp) and Twitter (@AudacyCorp).
EEO:
Audacy is an Equal Opportunity and Affirmative Action Employer. Audacy affords equal employment opportunity to qualified individuals regardless of their race, color, religion or religious creed, sex/ gender (including pregnancy, childbirth, breastfeeding, or related medical conditions), sexual orientation, gender identity, gender expression, national origin, ancestry, age (over 40), physical or mental disability, medical condition, genetic information, marital status, military or veteran status, or other classification protected by applicable federal, state, or local law, and to comply with all applicable laws and regulations. Consistent with our commitment to equal employment opportunity, we provide reasonable accommodations to qualified individuals with disabilities who need assistance in applying electronically for a position with Audacy, unless doing so would impose an undue hardship. To request a reasonable accommodation for this purpose, please call 1-610-660-5614. Please note that this phone number is to be used solely to request an accommodation with respect to the online application process. Calls for any other reason will not be returned. Reasonable accommodation requests are considered on a case-by-case basis.",3.1,"Entercom Communications Corp.
3.1","Philadelphia, PA",1001 to 5000 Employees,1968,Company - Public,Radio,Media,$100 to $500 million (USD),0,0,66,133,66,99.5,Entercom Communications Corp., PA,0,53,data scientist,jr,4851,1,0,0,1,0
Data Scientist,Employer Provided Salary:$31 - $79 Per Hour,"Role 1. Data Scientist - 4 positions
Remote
Long Term
Any Visa
Junior and Mid Level roles 0 to 3 Years experience only
2021 - Spring and Fall Graduates also eligible
Job Description:
Minimum 0-3 Years experience Data Science experience with hands-on spark/pyspark, Databricks and Azure experience. Client would always prefer a candidate who has some exposure in Graph based Models or graph databases. Please note that this role needs DS and Data engineering both knowledge, we are looking for a candidate who can design develop DS models and deploy and test in Production using Data bricks/Azure
Job Types: Full-time, Contract
Pay: $31.00 - $79.00 per hour
Schedule:
Monday to Friday
Education:
Master's (Preferred)
Experience:
Python: 1 year (Preferred)
SQL: 1 year (Preferred)
Work Location:
Fully Remote
Work Location: Remote",4.0,"EATEAM Inc
4.0",Remote,201 to 500 Employees,2004,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),1,1,31,158,62,94.5,EATEAM Inc,Remote,1,17,data scientist,na,828,1,0,1,0,0
Junior Data Scientist,Employer Provided Salary:$70K - $90K,"“Junior “Data Scientist
QuaEra, a rapidly growing NY/NJ-based startup, is looking for ambitious, passionate professionals to join its expanding team. QuaEra provides business organizations with cutting-edge decision-making solutions using advanced analytics, predictive modeling, and decision science methods.
QuaEra has developed a transformative hyper-personalization scoring-as-a- service solution called Aignyte (www.aignyte.com), which uses the latest in
AI, NLP, and other innovative techniques to increase direct marketing response. The hired individual will be part of the firm’s data science team building and implementing Aignyte and supporting the servicing of clients.
Applicants can be remote to NY/NJ but may need to travel there when conditions allow that.
Our Co-founders have a combined 50 years of experience in leadership roles in the industry. We are looking for quantitative problem solvers to work alongside them as well as senior business leaders to deliver and grow
Aignyte. If you have the entrepreneurial drive, intellectual curiosity, willingness to think out of the box, and want to learn from the best, then we want to hear from you.
REQUIREMENTS
2+ years of hands-on experience with Python, and preferably some data visualization software such as Tableau
Experience in machine and statistical learning, deep learning areas such as classification, regression, clustering, NLP, image recognition, etc.
At least a Master’s degree in a quantitative discipline such as Statistics,
Economics, Mathematics, Computer Science, or equivalent
Intellectual curiosity, entrepreneurial drive, innovative structured thinking, and problem-solving skills
Comfortable in a small, intense high-growth environment
We offer a competitive salary and bonus as well as health insurance and voluntary benefits
For more information, please visit us at: http://www.aignyte.com
Job Types: Full-time, Internship
Pay: $70,000.00 - $90,000.00 per year
Benefits:
Employee assistance program
Employee discount
Health insurance
Health savings account
Life insurance
Paid time off
Referral program
Supplemental Pay:
Bonus pay
Education:
Master's (Preferred)
Experience:
Python: 2 years (Preferred)
SQL: 1 year (Preferred)
Work Location:
Fully Remote
Work Location: Remote",-1.0,Aignyte,Remote,-1,-1,-1,-1,-1,-1,0,1,70,90,70,80.0,Aignyte,Remote,1,-1,data scientist,jr,2266,1,0,0,0,0
